geography_code,crime_sum_2021
E01000006,94
E01000007,512
E01000008,225
E01000009,299
E01000010,1329
E01000011,112
E01000012,142
E01000013,263
E01000014,100
E01000015,147
E01000016,106
E01000017,104
E01000018,113
E01000019,86
E01000020,81
E01000021,129
E01000022,68
E01000023,246
E01000024,57
E01000025,116
E01000027,161
E01000028,123
E01000029,103
E01000030,237
E01000031,143
E01000032,216
E01000033,96
E01000034,118
E01000035,210
E01000036,136
E01000037,94
E01000038,60
E01000039,87
E01000040,122
E01000041,82
E01000042,120
E01000043,85
E01000044,132
E01000045,243
E01000046,97
E01000048,30
E01000049,224
E01000050,119
E01000051,56
E01000052,130
E01000053,140
E01000054,96
E01000055,105
E01000056,214
E01000057,156
E01000058,142
E01000059,86
E01000060,279
E01000061,225
E01000062,151
E01000063,94
E01000064,203
E01000065,111
E01000066,109
E01000067,127
E01000068,111
E01000069,85
E01000070,246
E01000071,183
E01000072,200
E01000073,116
E01000074,101
E01000075,161
E01000076,102
E01000077,122
E01000078,139
E01000079,113
E01000080,130
E01000081,89
E01000082,173
E01000083,108
E01000084,174
E01000085,133
E01000086,92
E01000087,216
E01000088,156
E01000089,140
E01000090,153
E01000091,163
E01000092,498
E01000093,183
E01000094,111
E01000095,435
E01000096,171
E01000097,130
E01000098,205
E01000099,128
E01000100,106
E01000101,115
E01000102,123
E01000103,114
E01000104,150
E01000105,289
E01000106,210
E01000107,74
E01000108,171
E01000109,164
E01000110,66
E01000111,220
E01000112,181
E01000113,154
E01000114,220
E01000115,67
E01000116,92
E01000117,136
E01000118,69
E01000119,54
E01000120,48
E01000121,61
E01000122,48
E01000123,109
E01000124,263
E01000125,408
E01000126,138
E01000127,108
E01000128,114
E01000129,300
E01000130,99
E01000131,131
E01000132,82
E01000133,93
E01000134,83
E01000135,87
E01000136,75
E01000137,118
E01000138,98
E01000139,69
E01000140,135
E01000141,448
E01000142,113
E01000143,167
E01000144,163
E01000145,101
E01000146,403
E01000147,66
E01000148,217
E01000150,300
E01000151,196
E01000152,137
E01000153,110
E01000154,143
E01000155,348
E01000156,80
E01000157,39
E01000158,98
E01000159,116
E01000160,185
E01000161,136
E01000162,148
E01000163,162
E01000164,235
E01000165,61
E01000166,72
E01000167,88
E01000168,58
E01000169,73
E01000170,159
E01000171,281
E01000172,55
E01000173,62
E01000174,202
E01000175,59
E01000176,92
E01000177,82
E01000178,91
E01000179,71
E01000180,64
E01000181,135
E01000182,118
E01000183,56
E01000184,126
E01000185,92
E01000186,46
E01000187,54
E01000188,110
E01000189,129
E01000190,79
E01000191,58
E01000192,212
E01000193,372
E01000194,220
E01000195,207
E01000196,208
E01000197,90
E01000198,114
E01000199,68
E01000200,68
E01000201,69
E01000202,72
E01000203,146
E01000204,84
E01000205,84
E01000206,123
E01000207,91
E01000208,88
E01000209,79
E01000210,67
E01000211,219
E01000212,81
E01000213,59
E01000214,118
E01000215,86
E01000216,87
E01000217,69
E01000218,130
E01000219,146
E01000220,94
E01000221,320
E01000222,111
E01000223,249
E01000224,74
E01000225,59
E01000226,99
E01000227,63
E01000228,99
E01000229,56
E01000230,61
E01000231,93
E01000232,101
E01000233,136
E01000234,81
E01000235,116
E01000236,79
E01000237,204
E01000238,113
E01000239,125
E01000240,103
E01000241,108
E01000242,74
E01000243,177
E01000244,161
E01000245,234
E01000246,41
E01000247,91
E01000248,128
E01000249,45
E01000250,254
E01000251,229
E01000252,82
E01000253,84
E01000254,57
E01000255,112
E01000256,72
E01000257,173
E01000258,173
E01000259,113
E01000260,122
E01000261,41
E01000262,130
E01000263,52
E01000264,257
E01000265,73
E01000266,51
E01000267,52
E01000268,255
E01000269,56
E01000270,50
E01000271,111
E01000272,55
E01000273,116
E01000274,101
E01000275,47
E01000276,34
E01000277,61
E01000278,43
E01000279,48
E01000280,48
E01000281,150
E01000282,77
E01000283,41
E01000284,73
E01000285,49
E01000286,83
E01000287,60
E01000288,52
E01000289,121
E01000290,94
E01000291,74
E01000292,86
E01000293,73
E01000294,171
E01000295,108
E01000296,213
E01000297,59
E01000298,154
E01000299,190
E01000300,59
E01000301,44
E01000302,112
E01000303,41
E01000304,75
E01000305,225
E01000306,46
E01000307,801
E01000308,87
E01000309,76
E01000310,252
E01000311,117
E01000312,162
E01000313,146
E01000314,163
E01000315,97
E01000316,265
E01000317,80
E01000318,86
E01000319,58
E01000320,60
E01000321,124
E01000322,107
E01000323,326
E01000324,79
E01000325,55
E01000326,57
E01000327,46
E01000328,70
E01000329,66
E01000330,234
E01000331,124
E01000332,64
E01000333,162
E01000334,63
E01000335,301
E01000336,206
E01000337,88
E01000338,80
E01000339,53
E01000340,31
E01000341,41
E01000342,33
E01000343,74
E01000344,67
E01000345,31
E01000346,36
E01000347,58
E01000348,28
E01000349,48
E01000350,48
E01000351,45
E01000352,201
E01000353,37
E01000354,52
E01000355,27
E01000356,64
E01000357,22
E01000358,65
E01000359,41
E01000360,406
E01000361,32
E01000362,525
E01000363,49
E01000364,55
E01000365,109
E01000366,57
E01000367,111
E01000368,82
E01000369,53
E01000370,56
E01000371,51
E01000372,111
E01000373,82
E01000374,108
E01000375,108
E01000376,60
E01000377,108
E01000378,444
E01000379,76
E01000380,103
E01000381,95
E01000382,38
E01000383,82
E01000384,55
E01000385,161
E01000386,180
E01000387,44
E01000388,44
E01000389,80
E01000390,58
E01000391,67
E01000392,180
E01000393,69
E01000394,80
E01000395,44
E01000396,27
E01000398,47
E01000399,62
E01000400,59
E01000401,90
E01000402,109
E01000403,551
E01000404,251
E01000405,111
E01000406,121
E01000407,80
E01000408,176
E01000409,20
E01000410,79
E01000411,42
E01000412,78
E01000413,104
E01000414,196
E01000415,36
E01000416,216
E01000417,105
E01000418,68
E01000419,47
E01000420,39
E01000421,21
E01000422,115
E01000423,31
E01000424,54
E01000425,20
E01000426,48
E01000427,80
E01000428,180
E01000429,215
E01000430,140
E01000431,121
E01000432,192
E01000433,220
E01000434,118
E01000435,163
E01000436,33
