geography_code,Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,sum_2021
E01033595,Westminster,89,107,148,24,17,155,219,3568,212,392,4931
E01004734,Westminster,157,73,500,18,52,343,292,2227,154,903,4719
E01004763,Westminster,103,97,251,19,17,158,294,2870,51,520,4380
E01033583,Newham,103,123,123,32,26,139,124,1951,227,462,3310
E01004736,Westminster,101,61,234,19,27,188,206,1200,147,601,2784
E01002968,Kingston upon Thames,106,46,265,17,11,155,48,1188,33,368,2237
E01002444,Hillingdon,65,12,74,562,17,150,3,555,106,241,1785
E01001943,Hammersmith and Fulham,60,58,90,23,13,138,40,1026,50,280,1778
E01004735,Westminster,49,45,25,5,5,79,44,1116,94,226,1688
E01003617,Newham,53,38,67,13,7,79,58,879,62,267,1523
E01033708,Hackney,40,83,74,3,5,40,127,753,79,319,1523
E01004714,Westminster,32,51,31,8,5,60,56,970,152,154,1519
E01003047,Lambeth,72,33,146,13,17,134,75,479,22,367,1358
E01000010,Barking and Dagenham,79,36,128,4,5,93,60,577,63,284,1329
E01004765,Westminster,36,48,39,8,4,51,42,760,110,146,1244
E01000863,Camden,37,36,107,10,6,96,64,556,29,296,1237
E01003689,Redbridge,43,33,79,12,9,82,74,642,50,209,1233
E01000676,Bromley,62,45,79,7,9,65,28,687,50,192,1224
E01004761,Westminster,50,52,42,5,5,66,66,526,181,220,1213
E01004142,Sutton,81,46,35,8,7,120,36,570,26,270,1199
E01001014,Croydon,51,45,101,11,4,98,38,517,62,265,1192
E01033596,Westminster,33,37,74,5,3,48,57,754,24,156,1191
E01003013,Lambeth,39,29,95,10,27,102,130,374,22,357,1185
E01032582,Lambeth,53,38,145,4,6,55,137,497,15,219,1169
E01002026,Haringey,30,40,33,9,1,43,36,650,159,156,1157
E01003521,Newham,30,11,60,7,4,42,57,756,26,157,1150
E01001221,Ealing,72,30,29,6,2,84,23,612,51,166,1075
E01003783,Redbridge,35,34,85,7,8,51,52,536,42,219,1069
E01001043,Croydon,87,77,91,15,9,122,53,222,58,331,1065
E01000675,Bromley,61,47,81,15,9,106,12,422,63,236,1052
E01032741,Havering,32,34,47,7,9,60,28,594,34,150,995
E01033083,Hounslow,41,26,26,5,9,81,20,595,12,171,986
E01000914,Camden,38,44,23,9,3,50,39,500,138,133,977
E01001045,Croydon,61,59,91,13,9,107,31,203,41,337,952
E01003482,Newham,45,32,53,11,1,79,19,330,183,193,946
E01004689,Westminster,37,17,133,6,7,74,80,338,67,187,946
E01000854,Camden,36,26,19,1,0,80,51,562,25,142,942
E01033706,Hackney,27,43,59,1,9,33,58,465,31,212,938
E01004027,Southwark,25,36,119,8,5,57,47,446,26,155,924
E01002129,Harrow,21,26,44,3,4,65,21,556,18,161,919
E01002356,Havering,69,21,120,8,10,94,26,256,19,296,919
E01004762,Westminster,33,34,44,10,1,44,36,457,141,111,911
E01001667,Greenwich,82,72,82,9,10,66,25,246,83,227,902
E01000919,Camden,52,21,45,4,0,41,51,529,33,105,881
E01001898,Hammersmith and Fulham,53,27,74,8,7,116,16,322,50,199,872
E01004397,Waltham Forest,31,32,71,7,10,63,33,394,54,172,867
E01002704,Islington,39,51,13,6,6,45,41,401,118,145,865
E01003876,Richmond upon Thames,49,40,31,9,3,55,28,370,132,145,862
E01003929,Southwark,33,44,52,7,7,46,20,488,23,139,859
E01004525,Wandsworth,23,35,11,6,4,61,25,491,29,166,851
E01001361,Ealing,42,42,36,15,8,90,47,274,30,240,824
E01003318,Lewisham,51,53,61,11,13,63,57,243,49,222,823
E01001429,Enfield,45,26,27,3,10,69,28,344,59,206,817
E01033327,Lewisham,43,29,49,10,6,71,33,352,24,193,810
E01003296,Lewisham,38,53,61,7,3,64,24,306,22,227,805
E01001048,Croydon,45,33,73,9,5,50,24,299,48,218,804
E01000307,Barnet,27,15,43,4,1,30,6,508,79,88,801
E01004731,Westminster,50,27,44,2,6,67,18,443,14,125,796
E01033424,Brent,27,20,95,7,8,97,23,248,27,238,790
E01000855,Camden,25,28,35,7,5,42,39,443,48,89,761
E01002731,Islington,33,28,17,6,7,67,37,339,53,173,760
E01000600,Brent,67,76,38,10,2,62,14,107,107,272,755
E01001013,Croydon,41,30,126,14,14,61,36,166,52,214,754
E01002818,Kensington and Chelsea,28,18,26,1,4,25,21,333,207,90,753
E01001559,Enfield,36,9,21,7,3,41,13,345,165,111,751
E01000918,Camden,38,41,19,8,0,47,21,293,197,86,750
E01004733,Westminster,53,19,65,7,16,82,40,150,12,305,749
E01033699,Hackney,24,37,53,5,6,74,40,289,60,160,748
E01001247,Ealing,49,33,19,5,9,64,13,193,230,130,745
E01002034,Haringey,41,51,52,12,6,76,32,168,91,215,744
E01002521,Hillingdon,34,24,49,9,5,56,21,321,46,154,719
E01033594,Westminster,44,53,28,8,8,94,22,194,35,233,719
E01003728,Redbridge,40,40,58,6,7,59,42,212,70,170,704
E01000850,Camden,34,34,21,2,2,37,38,420,38,68,694
E01002002,Haringey,31,26,36,4,8,57,69,256,33,158,678
E01003981,Southwark,24,26,59,4,6,40,29,311,65,113,677
E01004067,Southwark,20,23,21,5,8,58,27,337,17,160,676
E01002794,Islington,16,46,14,3,2,71,24,349,24,114,663
E01004031,Southwark,22,23,34,3,4,32,26,374,59,83,660
E01004317,Tower Hamlets,38,45,94,4,7,48,26,209,26,157,654
E01004309,Tower Hamlets,33,41,50,7,8,62,25,215,47,146,634
E01004208,Tower Hamlets,27,27,50,4,8,64,25,264,23,138,630
E01000601,Brent,43,11,30,5,2,45,18,180,137,158,629
E01002515,Hillingdon,28,20,27,11,3,47,24,297,57,113,627
E01002029,Haringey,41,27,21,10,3,65,22,172,93,171,625
E01002734,Islington,29,21,56,6,4,52,43,255,23,132,621
E01004392,Waltham Forest,13,12,48,5,2,34,28,336,26,116,620
E01003934,Southwark,37,38,44,3,1,43,40,302,12,86,606
E01004430,Waltham Forest,35,16,43,8,4,49,16,242,70,115,598
E01002130,Harrow,34,31,34,3,3,47,20,203,44,178,597
E01004658,Westminster,22,36,40,6,5,57,33,231,23,138,591
E01003927,Southwark,20,47,37,5,6,30,23,277,27,116,588
E01002554,Hillingdon,44,48,25,4,2,69,16,143,47,188,586
E01004307,Tower Hamlets,35,44,42,4,3,30,15,282,31,98,584
E01000635,Brent,22,11,26,6,2,45,14,301,7,147,581
E01003770,Redbridge,50,11,10,1,2,40,2,54,29,380,579
E01001450,Enfield,30,27,14,2,2,33,26,291,34,115,574
E01032771,Tower Hamlets,52,26,23,6,2,41,19,244,21,139,573
E01001760,Hackney,21,31,31,7,6,56,31,230,26,133,572
E01002696,Islington,21,15,22,4,2,61,22,300,13,112,572
E01001899,Hammersmith and Fulham,19,30,17,7,0,43,10,306,36,103,571
E01003055,Lambeth,28,40,35,11,7,42,23,258,10,114,568
E01003601,Newham,42,26,20,9,9,67,5,52,30,302,562
E01002902,Kensington and Chelsea,7,17,4,2,2,19,15,435,24,35,560
E01033731,Greenwich,27,26,74,4,9,79,22,147,10,159,557
E01004600,Wandsworth,27,30,18,7,3,42,14,240,34,141,556
E01004609,Wandsworth,31,30,9,2,1,46,8,252,31,144,554
E01001729,Hackney,43,19,21,10,5,65,8,92,28,262,553
E01000403,Bexley,48,21,55,3,4,47,8,175,34,156,551
E01000953,Camden,22,15,37,8,4,43,24,236,22,131,542
E01004455,Waltham Forest,27,11,11,6,2,32,18,243,125,65,540
E01003520,Newham,17,6,45,6,2,27,27,276,37,96,539
E01002031,Haringey,25,26,22,6,3,43,18,182,93,115,533
E01004509,Wandsworth,52,46,55,12,5,59,9,119,39,132,528
E01000362,Bexley,26,18,57,9,6,38,7,228,24,112,525
E01001839,Hackney,17,38,23,4,7,58,14,187,35,142,525
E01002770,Islington,35,22,12,4,5,59,27,184,21,155,524
E01002069,Haringey,31,20,13,4,1,58,25,174,63,132,521
E01000007,Barking and Dagenham,27,11,108,4,13,39,33,108,18,151,512
E01004238,Tower Hamlets,34,40,21,4,4,28,24,107,112,137,511
E01002506,Hillingdon,27,24,53,7,5,40,18,140,39,157,510
E01004215,Tower Hamlets,57,30,45,5,3,51,11,103,66,139,510
E01001748,Hackney,19,46,53,3,6,43,15,144,43,136,508
E01033712,Hackney,14,25,15,6,8,28,19,244,62,86,507
E01002819,Kensington and Chelsea,17,16,15,4,1,33,11,252,66,91,506
E01003939,Southwark,16,31,42,2,4,34,22,225,14,115,505
E01002642,Hounslow,36,33,36,7,3,54,5,114,50,165,503
E01003569,Newham,17,12,11,6,3,27,19,319,22,66,502
E01002795,Islington,24,28,29,6,3,40,42,183,26,118,499
E01033704,Hackney,18,59,14,4,3,28,18,214,53,88,499
E01000092,Barking and Dagenham,37,41,23,5,2,34,8,55,124,169,498
E01001178,Croydon,47,19,18,4,8,51,6,87,43,215,498
E01000524,Brent,27,16,51,3,6,52,19,146,19,157,496
E01003035,Lambeth,17,21,23,1,6,23,10,240,27,128,496
E01032720,Southwark,16,22,58,8,8,40,28,164,19,128,491
E01001513,Enfield,30,22,29,3,3,41,16,155,80,111,490
E01004750,Westminster,31,18,44,2,6,52,10,195,17,114,489
E01001640,Greenwich,38,28,35,3,6,35,19,185,28,111,488
E01033737,Greenwich,12,32,40,5,11,32,9,171,23,148,483
E01000947,Camden,23,22,25,5,3,34,29,202,28,110,481
E01001097,Croydon,32,36,26,6,8,51,12,141,46,122,480
E01003076,Lambeth,20,26,26,3,1,76,9,103,20,195,479
E01004325,Tower Hamlets,36,56,39,4,1,40,15,126,45,117,479
E01003969,Southwark,25,18,38,4,6,47,28,149,43,118,476
E01033735,Greenwich,18,10,42,0,8,58,18,185,12,125,476
E01002889,Kensington and Chelsea,22,11,7,0,2,35,12,241,75,70,475
E01003291,Lewisham,33,23,14,2,4,62,8,84,41,204,475
E01032574,Enfield,37,14,13,6,2,36,15,61,108,183,475
E01000677,Bromley,5,14,68,4,3,36,18,251,25,50,474
