geography_code,Borough,sum_2021
E01000006,Barking and Dagenham,94
E01000007,Barking and Dagenham,512
E01000008,Barking and Dagenham,225
E01000009,Barking and Dagenham,299
E01000010,Barking and Dagenham,1329
E01000011,Barking and Dagenham,112
E01000012,Barking and Dagenham,142
E01000013,Barking and Dagenham,263
E01000014,Barking and Dagenham,100
E01000015,Barking and Dagenham,147
E01000016,Barking and Dagenham,106
E01000017,Barking and Dagenham,104
E01000018,Barking and Dagenham,113
E01000019,Barking and Dagenham,86
E01000020,Barking and Dagenham,81
E01000021,Barking and Dagenham,129
E01000022,Barking and Dagenham,68
E01000023,Barking and Dagenham,246
E01000024,Barking and Dagenham,57
E01000025,Barking and Dagenham,116
E01000027,Barking and Dagenham,161
E01000028,Barking and Dagenham,123
E01000029,Barking and Dagenham,103
E01000030,Barking and Dagenham,237
E01000031,Barking and Dagenham,143
E01000032,Barking and Dagenham,216
E01000033,Barking and Dagenham,96
E01000034,Barking and Dagenham,118
E01000035,Barking and Dagenham,210
E01000036,Barking and Dagenham,136
E01000037,Barking and Dagenham,94
E01000038,Barking and Dagenham,60
E01000039,Barking and Dagenham,87
E01000040,Barking and Dagenham,122
E01000041,Barking and Dagenham,82
E01000042,Barking and Dagenham,120
E01000043,Barking and Dagenham,85
E01000044,Barking and Dagenham,132
E01000045,Barking and Dagenham,243
E01000046,Barking and Dagenham,97
E01000048,Barking and Dagenham,30
E01000049,Barking and Dagenham,224
E01000050,Barking and Dagenham,119
E01000051,Barking and Dagenham,56
E01000052,Barking and Dagenham,130
E01000053,Barking and Dagenham,140
E01000054,Barking and Dagenham,96
E01000055,Barking and Dagenham,105
E01000056,Barking and Dagenham,214
E01000057,Barking and Dagenham,156
E01000058,Barking and Dagenham,142
E01000059,Barking and Dagenham,86
E01000060,Barking and Dagenham,279
E01000061,Barking and Dagenham,225
E01000062,Barking and Dagenham,151
E01000063,Barking and Dagenham,94
E01000064,Barking and Dagenham,203
E01000065,Barking and Dagenham,111
E01000066,Barking and Dagenham,109
E01000067,Barking and Dagenham,127
E01000068,Barking and Dagenham,111
E01000069,Barking and Dagenham,85
E01000070,Barking and Dagenham,246
E01000071,Barking and Dagenham,183
E01000072,Barking and Dagenham,200
E01000073,Barking and Dagenham,116
E01000074,Barking and Dagenham,101
E01000075,Barking and Dagenham,161
E01000076,Barking and Dagenham,102
E01000077,Barking and Dagenham,122
E01000078,Barking and Dagenham,139
E01000079,Barking and Dagenham,113
E01000080,Barking and Dagenham,130
E01000081,Barking and Dagenham,89
E01000082,Barking and Dagenham,173
E01000083,Barking and Dagenham,108
E01000084,Barking and Dagenham,174
E01000085,Barking and Dagenham,133
E01000086,Barking and Dagenham,92
E01000087,Barking and Dagenham,216
E01000088,Barking and Dagenham,156
E01000089,Barking and Dagenham,140
E01000090,Barking and Dagenham,153
E01000091,Barking and Dagenham,163
E01000092,Barking and Dagenham,498
E01000093,Barking and Dagenham,183
